IdValeSalida,IdProducto,PrecioCosto,Pventa,Cantidad,Saldo,idvalearea
448,16,100,250,1,,1
449,26,200,450,1,,1
450,16,100,0,1,,1
450,1,200,0,1,,1
451,26,200,450,1,,1
452,1,200,400,1,,1
453,1,200,400,1,,1
1,4,183,350,1,,6
2,4,183,350,1,,1
3,1,109,250,1,,1
4,3,70,200,1,,1
5,3,70,200,1,,2
6,3,70,200,1,,2
7,3,70,200,1,,1
8,3,70,200,1,,1
9,1,109,250,1,,1
10,4,183,350,3,,1
11,4,183,350,3,,1
12,4,183,350,3,,2
13,4,183,350,1,,1
13,4,183,350,1,,1
13,4,183,350,1,,1
14,4,183,350,1,,1
14,4,183,350,1,,1
14,4,183,350,1,,1
15,4,183,350,1,,1
16,3,70,200,1,,1
17,3,70,200,1,,1
17,2,182,300,1,,1
17,5,182,300,5,,1
18,3,70,200,1,,1
19,3,70,200,1,,1
20,3,70,200,1,,1
21,3,70,200,1,,1
22,1,109,250,1,,1
23,4,183,350,1,,1
24,7,145,350,1,,2
25,7,145,350,1,,2
25,5,182,300,1,,2
26,2,182,300,1,,1
27,2,182,300,1,,1
28,7,145,350,1,,2
28,5,182,300,1,,2
29,7,145,350,1,,2
29,5,182,300,1,,2
30,5,182,300,1,,2
31,4,183,350,1,,3
32,7,145,350,1,,2
33,5,182,300,1,,3
34,5,182,300,1,,2
35,5,182,300,1,,3
36,7,145,350,1,,2
36,7,145,350,1,,2
37,5,182,300,1,,2
38,5,182,300,1,,1
39,5,182,300,1,,4
39,5,182,300,1,,4
40,5,182,300,1,,1
41,4,183,350,1,,6
41,7,145,350,1,,6
41,7,145,350,1,,6
41,4,183,350,1,,6
41,4,183,350,1,,6
41,7,145,350,1,,6
41,7,145,350,1,,6
42,4,183,350,1,,3
42,4,183,350,1,,3
42,4,183,350,1,,3
42,4,183,350,1,,3
42,7,145,350,1,,3
42,7,145,350,1,,3
42,7,145,350,1,,3
44,9,80,200,1,,3
45,9,80,200,1,,2
46,9,80,200,1,,6
47,9,80,200,1,,1
47,9,80,200,1,,1
48,11,135,300,1,,5
49,9,80,200,1,,3
50,9,80,200,1,,1
51,11,135,300,1,,1
52,11,135,300,1,,3
52,9,80,200,1,,3
53,10,150,250,1,,6
54,9,80,200,1,,5
55,9,80,200,1,,5
56,10,150,250,1,,4
57,11,135,300,1,,4
58,9,80,200,1,,4
59,9,80,200,1,,4
60,11,135,300,1,,2
61,11,135,300,1,,6
61,9,80,200,1,,6
62,10,150,250,1,,3
63,11,135,300,1,,3
64,9,80,200,1,,3
65,9,80,200,1,,2
66,9,80,200,1,,4
67,12,135,350,1,,3
67,12,135,350,1,,3
68,9,80,200,1,,1
68,12,135,350,1,,1
68,12,135,350,1,,1
68,12,135,350,1,,1
69,11,135,300,1,,3
70,9,80,200,1,,1
70,9,80,200,1,,1
71,12,135,350,1,,5
72,9,80,200,1,,1
73,10,150,250,1,,3
74,10,150,250,1,,1
75,10,150,250,1,,2
