IdValeSalida,NoConsecutivo,Fecha,Destino,Inventariada,Nota,Exportada,Periodo,DiezPorciento,año
51,51,"05/17/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"5/2023",0,2023
52,52,"05/17/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"5/2023",0,2023
53,53,"05/19/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"5/2023",0,2023
54,54,"05/20/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"5/2023",0,2023
55,55,"05/20/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"5/2023",0,2023
56,56,"05/20/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"5/2023",0,2023
57,57,"05/20/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"5/2023",0,2023
58,58,"05/20/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"5/2023",0,2023
59,59,"05/24/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"5/2023",0,2023
60,60,"05/26/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"5/2023",0,2023
61,61,"05/26/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"5/2023",0,2023
62,62,"05/26/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"5/2023",0,2023
63,63,"05/26/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"5/2023",0,2023
64,64,"05/27/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"5/2023",0,2023
65,65,"05/27/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"5/2023",0,2023
66,66,"05/27/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"5/2023",0,2023
67,67,"05/27/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"5/2023",0,2023
68,68,"05/30/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"5/2023",0,2023
69,69,"05/31/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"5/2023",0,2023
70,70,"06/02/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
71,71,"06/03/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
72,72,"06/03/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
73,73,"06/03/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
74,74,"06/03/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
75,75,"06/03/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
76,76,"06/06/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
77,77,"06/07/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
78,78,"06/07/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
79,79,"06/07/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
80,80,"06/08/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
81,81,"06/09/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
82,82,"06/10/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
83,83,"06/13/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
84,84,"06/13/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
85,85,"06/13/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
86,86,"06/14/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
87,87,"06/15/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
88,88,"06/15/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
89,89,"06/15/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
90,90,"06/15/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
