idproducto,Producto,Referencia,Pcosto,Pventa,Foto,UM,RutaImagen,Elaborado
184,"Malta Bucanero","Malta Bucanero",0,700,,,,0
185,"Dona Chocolate","DNCH",0,750,,,,0
186,"Dona Roll Bombom","DRB",0,750,,1,"openFileDialog1",0
187,"Xuxo Crema","CCD",0,700,,,,0
188,"Frapucchino","FRCH",0,1150,,,,0
189,"Cerveza Unlaguer","CUL",0,750,,1,"openFileDialog1",0
190,"Café Bombón","CFBM",0,950,,,,0
192,"Mini Pizza York","MP",0,1500,,1,"openFileDialog1",0
193,"Bocapizza","BP",0,1700,,1,"openFileDialog1",0
194,"Muffin Zanahoria","MF",0,1600,,1,"openFileDialog1",0
195,"Muffin Nueces","MN",0,1600,,1,"openFileDialog1",0
196,"Muffin Chocolate","MC",0,1950,,1,"openFileDialog1",0
197,"Dots Chocolate","DC",0,1100,,1,"openFileDialog1",0
198,"Dots Glaseada","DG",0,1050,,1,"openFileDialog1",0
199,"Dots Pink","DP",0,1150,,1,"openFileDialog1",0
200,"Dots Crunchy","DC",0,1150,,1,"openFileDialog1",0
202,"Agua de coco 1L","AC1L",0,2000,,1,"openFileDialog1",0
203,"Cafe Capuchino ","CC",0,1500,,1,"openFileDialog1",0
204,"Cafe cortado","CFC",0,1150,,1,"openFileDialog1",0
205,"Cafe expreso","CFE",0,950,,1,"openFileDialog1",0
206,"Cabello  Angel","CBA",0,1400,,1,"openFileDialog1",0
207,"Cafe Bombom","CB",0,1400,,1,"openFileDialog1",0
208,"Dots Pepitas","DP",0,1400,,1,"openFileDialog1",0
210,"Agua Coco 500 ml","AC5",0,2000,,1,"openFileDialog1",0
211,"Pepsi de botella","PB",0,650,,1,"openFileDialog1",0
212,"Malta Burge Meester","MBM",0,850,,1,"openFileDialog1",0
213,"Vaso desechable plástico","VDP",0,100,,1,"openFileDialog1",0
214,"Croissant Cacao","CCA",0,1400,,1,"openFileDialog1",0
215,"Paletica de helado","PH",0,950,,1,"openFileDialog1",0
216,"Muffins Arándano ","MA",0,1950,,1,"openFileDialog1",0
217,"Muffins Red Velvet","MRV",0,1950,,1,"openFileDialog1",0
218,"Empanada de atún ","EmA",0,2000,,1,"openFileDialog1",0
219,"Agua Sultán ","ASul",0,600,,1,"openFileDialog1",0
220,"Agua Gaseada Tehuacán ","AGT",0,1150,,1,"openFileDialog1",0
221,"Agua Dea","AD",0,600,,1,"openFileDialog1",0
222,"Tiggon","Tig",0,900,,1,"openFileDialog1",0
223,"Cabello Angel Chocolate","CAC",0,1400,,1,"openFileDialog1",0
224,"Agua Natural Río Blanco","ARB",0,850,,1,"openFileDialog1",0
225,"Café con Leche","CLech",0,1500,,1,"openFileDialog1",1
229,"Jugo de Piña","JPiña",0,850,,1,"openFileDialog1",0
230,"Jugo de Guayaba","JG",0,850,,1,"openFileDialog1",0
232,"Agua Gaseada Sultan 200ml","AG2ML",0,850,,1,"openFileDialog1",0
233,"Jugo de Melón","JMe",0,850,,1,"openFileDialog1",1
234,"Cerveza 3 Horses Premiun Lager Beer","Cer",0,1000,,1,"openFileDialog1",0
235,"TINTE","134",0,300,,1,"openFileDialog1",0
236,"PEROXIDO","1432",0,4.5,,1,"openFileDialog1",0
237,"OTRAS COSAS DE TINTE","5Y54",0,15,,1,"openFileDialog1",0
