idbajaspor,idbajas,IdAlmacen,Fecha,idproducto,Cantidad,Pcosto,Pventa
117,2,2,"12/06/22 00:00:00",75,1,15,30
118,2,2,"12/08/22 00:00:00",13,13,135,190
119,2,2,"12/08/22 00:00:00",15,6,200,300
120,2,2,"12/08/22 00:00:00",75,3,15,30
121,2,2,"12/08/22 00:00:00",75,1,15,30
122,2,2,"12/08/22 00:00:00",6,1,40,75
123,2,2,"12/09/22 00:00:00",20,1,1500,2000
124,2,2,"12/09/22 00:00:00",3,5,45,80
125,2,2,"12/09/22 00:00:00",6,2,40,75
126,2,2,"12/09/22 00:00:00",13,7,135,190
127,2,2,"12/09/22 00:00:00",14,1,210,300
128,2,2,"12/09/22 00:00:00",19,2,160,210
129,2,2,"12/09/22 00:00:00",21,1,70,100
130,2,2,"12/09/22 00:00:00",75,8,15,30
131,2,2,"12/10/22 00:00:00",3,1,45,80
132,2,2,"12/11/22 00:00:00",71,2,300,300
133,2,2,"12/11/22 00:00:00",13,2,135,190
134,2,2,"12/12/22 00:00:00",14,4,210,300
135,2,2,"12/12/22 00:00:00",70,7,350,250
136,2,2,"12/12/22 00:00:00",72,1,200,250
137,2,2,"12/12/22 00:00:00",13,21,135,190
138,2,2,"12/12/22 00:00:00",3,6,45,80
139,2,2,"12/12/22 00:00:00",6,6,40,75
140,2,2,"12/12/22 00:00:00",19,1,160,210
141,2,1,"12/13/22 00:00:00",20,36,1500,2000
142,2,1,"12/13/22 00:00:00",19,24,160,210
143,2,1,"12/13/22 00:00:00",17,12,325,500
144,2,2,"12/13/22 00:00:00",21,4,70,100
145,2,2,"12/14/22 00:00:00",21,1,70,100
146,2,2,"12/14/22 00:00:00",18,1,400,700
147,2,2,"12/14/22 00:00:00",15,2,200,250
148,2,2,"12/14/22 00:00:00",13,3,135,190
149,2,2,"12/16/22 00:00:00",6,2,40,75
150,2,2,"12/16/22 00:00:00",8,4,70,120
151,2,2,"12/16/22 00:00:00",13,3,135,190
152,2,2,"12/16/22 00:00:00",71,1,300,250
153,2,2,"12/16/22 00:00:00",77,3,125,200
154,2,2,"12/16/22 00:00:00",6,2,40,75
155,2,2,"12/16/22 00:00:00",71,1,300,250
156,2,2,"12/16/22 00:00:00",13,6,135,190
157,2,2,"12/16/22 00:00:00",3,1,45,80
158,2,2,"12/20/22 00:00:00",15,2,200,250
159,2,2,"12/20/22 00:00:00",71,18,300,250
160,2,2,"12/20/22 00:00:00",77,1,125,200
161,2,2,"12/20/22 00:00:00",8,1,70,120
162,2,1,"12/20/22 00:00:00",19,72,160,210
163,2,2,"12/20/22 00:00:00",11,1,245,400
164,2,2,"12/20/22 00:00:00",77,1,125,200
165,2,2,"12/20/22 00:00:00",3,1,45,80
166,2,2,"12/20/22 00:00:00",3,1,45,80
167,2,2,"12/20/22 00:00:00",13,10,135,190
168,2,2,"12/20/22 00:00:00",15,2,200,250
169,2,2,"12/20/22 00:00:00",19,8,160,210
170,2,2,"12/20/22 00:00:00",72,1,200,250
171,2,2,"12/20/22 00:00:00",77,1,125,200
172,2,2,"12/20/22 00:00:00",71,1,300,250
173,2,2,"12/21/22 00:00:00",77,1,125,200
174,2,2,"12/22/22 00:00:00",17,1,325,500
